filename,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate,bimodality 
Berkeley_11032020_MemberCityCouncilDist6BerkeleyRCV.csv,0,1,R,2,5,1,1,86.46975364,55.11414936,,,,0.859497323
Berkeley_11042014_CityCouncilDistrict1.csv,0,1,R,3,3,0.917429546,0.859091725,83.0371567,74.7083109,47.9267636,,,0.243373346
Berkeley_11042014_CityCouncilDistrict7.csv,0,1,R,2,3,1,1,76.21262458,68.8372093,,,,0.861891026
Berkeley_11042014_CityCouncilDistrict8.csv,0,1,R,4,3,0.542623675,0.671378092,70.64929329,65.6139576,59.80565371,51.70053004,,0.512404965
Berkeley_11062012_CityCouncilDistrict2.csv,0,1,R,3,3,0.889732528,0.889732528,81.69111303,68.26574633,60.13805004,,,0.673537179
Berkeley_11062012_CityCouncilDistrict3.csv,0,1,R,2,3,1,1,76.30662021,64.42121564,,,,0.869612413
Berkeley_11062012_CityCouncilDistrict5.csv,0,1,R,2,3,1,1,71.30303791,65.85488325,,,,0.884362663
Berkeley_11062012_CityCouncilDistrict6.csv,0,1,R,2,3,1,1,95.85167626,5.519810362,,,,0.99278825
Berkeley_11062012_Mayor.csv,0,1,E,7,3,0.651337241,0.735586256,72.46169214,51.52760239,37.95163692,20.51567182,20.26499802,0.36914008
Berkeley_11062018_CityAuditor.csv,0,1,O,2,3,1,1,96.99315272,38.34276074,,,,0.968960816
Berkeley_11062018_CityCouncilDistrict1.csv,0,1,R,4,3,0.685377598,0.598834263,74.40446021,73.9736442,66.81449569,28.53522554,,0.51613007
Berkeley_11062018_CityCouncilDistrict4.csv,0,1,R,3,3,0.854485777,0.854485777,83.97155361,78.19110139,69.18307805,,,0.574029182
Berkeley_11062018_CityCouncilDistrict7.csv,0,1,R,3,3,0.912224591,0.912224591,91.29353234,81.66311301,67.66169154,,,0.411780016
Berkeley_11062018_CityCouncilDistrict8.csv,0,1,R,4,3,0.764077522,0.724248436,81.36731268,71.99755837,46.55882802,32.09217152,,0.41258044
Berkeley_11082016_CityCouncilDistrict2.csv,0,1,R,3,3,0.830067189,0.830067189,76.37178052,74.13213886,73.46024636,,,0.570634921
Berkeley_11082016_CityCouncilDistrict3.csv,0,1,R,4,3,0.782675839,0.654499509,82.83026815,63.48448687,54.76625018,25.22813421,,0.426434326
Berkeley_11082016_CityCouncilDistrict5.csv,0,1,R,2,3,1,1,76.26555127,62.73058773,,,,0.904118976
Berkeley_11082016_CityCouncilDistrict6.csv,0,1,R,3,3,0.836436705,0.828131279,82.57200268,64.75552579,57.56195579,,,0.64822368
Berkeley_11082016_Mayor.csv,0,1,E,8,3,,0.635330038,72.40937231,56.97609689,45.12407011,17.52838177,13.62325197,0.082345781
Burlington_03032009_Mayor.csv,1,1,E,5,5,0.493979933,0.554849498,74.74916388,68.92976589,67.93756968,67.8483835,37.79264214,0.718131625
Burlington_03072006_Mayor.csv,1,1,E,5,5,0.623363339,0.656914894,76.09451718,76.05360065,61.25204583,35.01432079,32.43657938,0.490785843
Burlington_03072023_CityCouncilCentralDistrict.csv,1,1,R,2,3,1,1,81.37024871,71.6564993,,,,0.874781487
Burlington_03072023_CityCouncilEastDistrict.csv,1,1,R,2,3,1,1,84.56568557,68.34170854,,,,0.831005236
Burlington_03072023_CityCouncilSouthDistrict.csv,1,1,R,3,4,0.856632957,0.856632957,89.94646044,54.66983938,51.93337299,,,0.902664894
Corvallis_11082022_CityCouncilWard9.csv,0,1,R,3,3,0.83195706,0.83195706,92.6507019,89.55408753,86.91164327,,,0.462264135
Corvallis_11082022_Mayor.csv,0,1,E,3,3,0.788546469,0.788546469,92.3125455,90.90026693,89.49769473,,,0.653834421
Easthampton_11022021_Mayor.csv,1,1,E,66,4,,0.6785541,78.86948083,35.58951965,32.04754973,22.07666181,0.12130034,0.491269472
Eastpointe_11052019_CityCouncil.csv,0,1,R,4,4,0.593562575,0.6227509,83.34666134,77.04918033,67.93282687,61.29548181,,0.43768595
ElkRidge_11022021_Mayor.csv,0,1,E,3,3,0.894576012,0.894576012,89.07563025,89.07563025,81.97097021,,,0.474407659
Hawaii_05232020_PresidentoftheUnitedStateCD1.csv,DP,3,E,11,3,,0.71617637,78.09092779,49.43427278,27.23719399,9.236782555,8.935061373,0.176379814
Hawaii_05232020_PresidentoftheUnitedStateCD1CD2.csv,DP,3,E,11,3,,0.747941446,75.94064501,52.77904849,26.61539341,12.30272187,7.450823422,0.012828464
Hawaii_05232020_PresidentoftheUnitedStateCD2.csv,DP,3,E,11,3,,0.727553572,74.40298142,55.17089197,26.17074486,14.71093022,7.585936351,0.822406308
Kansas_05022020_PRESIDENTOFTHEUNITEDSTATES.csv,DP,3,E,5,5,0.69377258,0.604950367,92.99695875,62.81781751,62.22861769,34.41988311,27.41480075,0.799628758
LasCruces_11052019_COUNCILORPOSITION2CITYOFLASCRUCESDISTRICT2COUNCILOR.csv,0,1,R,4,4,0.632,0.655111111,74.04444444,66.8,60.97777778,48.48888889,,0.551282588
LasCruces_11052019_COUNCILORPOSITION4CITYOFLASCRUCESDISTRICT4COUNCILOR.csv,0,1,R,3,3,0.859615385,0.755769231,80.83333333,73.46153846,73.14102564,,,0.747515572
LasCruces_11052019_MAYORCITYOFLASCRUCES.csv,0,1,E,10,0,,0.341229193,73.51685873,62.39863423,55.00782473,47.68103571,47.31825295,0.785614738
Maine_06122018_DemocraticPrimaryforCD2.csv,0,3,R,4,5,0.694512424,0.676191106,81.94104548,79.38796658,57.80364663,41.8325727,,0.548796721
Maine_06122018_DemocraticPrimaryforGovernor.csv,0,2,E,7,8,0.303228417,0.311638646,79.81703785,74.06237851,70.53404953,69.47880384,51.26907178,0.610349694
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict41.csv,0,2,R,3,3,0.839540412,0.788431062,90.68938193,88.07448494,77.81299525,,,0.553058377
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict47.csv,0,2,R,3,3,0.794471154,0.794471154,88.10096154,85.53685897,82.8525641,,,0.428726429
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict49.csv,0,2,R,3,3,0.775322284,0.735267035,86.32596685,82.18232044,81.30755064,,,0.623891562
Maine_07142020_DemocraticCandidateforMaineStateHouseDistrict90.csv,0,2,R,3,3,0.872350912,0.77821587,88.86150813,87.38294726,77.13159192,,,0.533813667
Maine_07142020_DemocraticCandidateforMaineStateSenateDistrict11.csv,0,2,R,3,3,0.790816327,0.749433107,89.1723356,82.61526833,82.52078609,,,0.496535999
Maine_07142020_RepublicanCandidateforUSHouseofRepresentativesDistrict2.csv,0,3,R,3,3,0.848793606,0.848793606,80.46096739,70.9158744,66.50695049,,,0.468700872
Maine_11062018_CongressionalDistrict2.csv,1,3,R,4,5,0.784114369,0.791052184,65.35504172,62.19459657,45.35669604,41.27327683,,0.91729949
Maine_11082022_CongressionalDistrict2.csv,1,3,R,3,4,0.934384502,0.934384502,63.40318694,62.49952688,49.72369766,,,0.910765913
Minneapolis_08112020_Ward6CityCouncilSpecialElection.csv,0,1,R,12,3,,0.685729072,38.87954457,32.09988356,25.13908656,19.92495795,15.50006469,0.222105143
Minneapolis_11022021_CityCouncilWard1.csv,0,1,R,4,3,0.890309026,0.7501532,68.89608684,68.30955091,32.96857218,13.61288628,,0.46258286
Minneapolis_11022021_CityCouncilWard2.csv,0,1,R,5,3,0.708118895,0.762524945,62.03129923,57.86156916,54.09095683,38.15775654,9.190211112,0.594574697
Minneapolis_11022021_CityCouncilWard3.csv,0,1,R,4,3,0.834935416,0.789726645,68.30129168,55.95524181,43.03844998,19.60799039,,0.4896005
Minneapolis_11022021_CityCouncilWard4.csv,0,1,R,3,3,0.960789728,0.823415712,80.87808919,57.97321552,38.83749827,,,0.634930165
Minneapolis_11022021_CityCouncilWard5.csv,0,1,R,7,3,0.693978102,0.570985401,54.12408759,50.65693431,44.9270073,22.51824818,20.51094891,0.350288978
Minneapolis_11022021_CityCouncilWard6.csv,0,1,R,2,3,1,1,70.11365455,56.3310389,,,,0.9353077
Minneapolis_11022021_CityCouncilWard7.csv,0,1,R,4,3,0.792345487,0.886733902,74.69183691,43.4186708,32.9195759,24.58408758,,0.556367855
Minneapolis_11022021_CityCouncilWard8.csv,0,1,R,2,3,1,1,88.29827554,18.55220769,,,,0.977299239
Minneapolis_11022021_CityCouncilWard9.csv,0,1,R,8,3,,0.731010766,67.88277512,33.59748804,24.85047847,19.39294258,18.39114833,0.612688341
Minneapolis_11022021_CityCouncilWard10.csv,0,1,R,6,3,0.727170131,0.787360105,56.44691056,53.32455563,46.52496943,33.96031224,26.53061224,0.361412915
Minneapolis_11022021_CityCouncilWard11.csv,0,1,R,5,3,0.808055098,0.81561611,75.55023207,48.36801916,24.18026651,19.70354844,13.63228028,0.417648726
Minneapolis_11022021_CityCouncilWard12.csv,0,1,R,3,3,0.962597911,0.962597911,80.92689295,50.50261097,27.30417755,,,0.453495112
Minneapolis_11022021_CityCouncilWard13.csv,0,1,R,5,3,0.876708999,0.87354925,81.06580786,47.65145531,21.35261591,14.92374066,13.58084706,0.756249997
Minneapolis_11022021_Mayor.csv,0,1,E,18,3,,0.725366599,55.95385364,47.84349156,41.35798179,19.68378623,12.35249149,0.244569596
