precinct,rank1,rank2,rank3
11-05,Carol Becker,R. Michael Martens,DeWayne Townsend
11-05,Carol Becker,R. Michael Martens,DeWayne Townsend
11-05,Carol Becker,R. Michael Martens,DeWayne Townsend
11-05,Carol Becker,R. Michael Martens,DeWayne Townsend
11-06,Carol Becker,R. Michael Martens,DeWayne Townsend
11-06,Carol Becker,R. Michael Martens,DeWayne Townsend
11-09,Carol Becker,R. Michael Martens,DeWayne Townsend
11-09,Carol Becker,R. Michael Martens,DeWayne Townsend
12-01,Carol Becker,R. Michael Martens,DeWayne Townsend
12-01,Carol Becker,R. Michael Martens,DeWayne Townsend
12-01,Carol Becker,R. Michael Martens,DeWayne Townsend
12-02,Carol Becker,R. Michael Martens,DeWayne Townsend
12-02,Carol Becker,R. Michael Martens,DeWayne Townsend
12-02,Carol Becker,R. Michael Martens,DeWayne Townsend
12-02,Carol Becker,R. Michael Martens,DeWayne Townsend
12-03,Carol Becker,R. Michael Martens,DeWayne Townsend
12-03,Carol Becker,R. Michael Martens,DeWayne Townsend
12-03,Carol Becker,R. Michael Martens,DeWayne Townsend
12-04,Carol Becker,R. Michael Martens,DeWayne Townsend
12-04,Carol Becker,R. Michael Martens,DeWayne Townsend
12-04,Carol Becker,R. Michael Martens,DeWayne Townsend
12-05,Carol Becker,R. Michael Martens,DeWayne Townsend
12-05,Carol Becker,R. Michael Martens,DeWayne Townsend
12-06,Carol Becker,R. Michael Martens,DeWayne Townsend
12-08,Carol Becker,R. Michael Martens,DeWayne Townsend
12-08,Carol Becker,R. Michael Martens,DeWayne Townsend
12-11,Carol Becker,R. Michael Martens,DeWayne Townsend
12-11,Carol Becker,R. Michael Martens,DeWayne Townsend
12-11,Carol Becker,R. Michael Martens,DeWayne Townsend
12-11,Carol Becker,R. Michael Martens,DeWayne Townsend
12-11,Carol Becker,R. Michael Martens,DeWayne Townsend
13-02,Carol Becker,R. Michael Martens,DeWayne Townsend
13-02,Carol Becker,R. Michael Martens,DeWayne Townsend
13-02,Carol Becker,R. Michael Martens,DeWayne Townsend
13-02,Carol Becker,R. Michael Martens,DeWayne Townsend
13-02,Carol Becker,R. Michael Martens,DeWayne Townsend
13-03,Carol Becker,R. Michael Martens,DeWayne Townsend
13-03,Carol Becker,R. Michael Martens,DeWayne Townsend
13-04,Carol Becker,R. Michael Martens,DeWayne Townsend
13-04,Carol Becker,R. Michael Martens,DeWayne Townsend
13-05,Carol Becker,R. Michael Martens,DeWayne Townsend
13-05,Carol Becker,R. Michael Martens,DeWayne Townsend
13-06,Carol Becker,R. Michael Martens,DeWayne Townsend
13-07,Carol Becker,R. Michael Martens,DeWayne Townsend
13-08,Carol Becker,R. Michael Martens,DeWayne Townsend
13-08,Carol Becker,R. Michael Martens,DeWayne Townsend
13-09,Carol Becker,R. Michael Martens,DeWayne Townsend
13-09,Carol Becker,R. Michael Martens,DeWayne Townsend
13-09,Carol Becker,R. Michael Martens,DeWayne Townsend
13-10,Carol Becker,R. Michael Martens,DeWayne Townsend
01-01,Carol Becker,R. Michael Martens,David Wheeler
01-01,Carol Becker,R. Michael Martens,David Wheeler
01-01,Carol Becker,R. Michael Martens,David Wheeler
01-02,Carol Becker,R. Michael Martens,David Wheeler
01-02,Carol Becker,R. Michael Martens,David Wheeler
01-03,Carol Becker,R. Michael Martens,David Wheeler
01-03,Carol Becker,R. Michael Martens,David Wheeler
01-03,Carol Becker,R. Michael Martens,David Wheeler
01-03,Carol Becker,R. Michael Martens,David Wheeler
01-04,Carol Becker,R. Michael Martens,David Wheeler
01-04,Carol Becker,R. Michael Martens,David Wheeler
01-04,Carol Becker,R. Michael Martens,David Wheeler
01-04,Carol Becker,R. Michael Martens,David Wheeler
01-04,Carol Becker,R. Michael Martens,David Wheeler
01-04,Carol Becker,R. Michael Martens,David Wheeler
01-05,Carol Becker,R. Michael Martens,David Wheeler
01-05,Carol Becker,R. Michael Martens,David Wheeler
01-05,Carol Becker,R. Michael Martens,David Wheeler
01-06,Carol Becker,R. Michael Martens,David Wheeler
01-08,Carol Becker,R. Michael Martens,David Wheeler
01-08,Carol Becker,R. Michael Martens,David Wheeler
01-08,Carol Becker,R. Michael Martens,David Wheeler
01-09,Carol Becker,R. Michael Martens,David Wheeler
01-09,Carol Becker,R. Michael Martens,David Wheeler
01-09,Carol Becker,R. Michael Martens,David Wheeler
01-10,Carol Becker,R. Michael Martens,David Wheeler
02-01,Carol Becker,R. Michael Martens,David Wheeler
02-02,Carol Becker,R. Michael Martens,David Wheeler
02-02,Carol Becker,R. Michael Martens,David Wheeler
02-02,Carol Becker,R. Michael Martens,David Wheeler
02-03,Carol Becker,R. Michael Martens,David Wheeler
02-05,Carol Becker,R. Michael Martens,David Wheeler
02-05,Carol Becker,R. Michael Martens,David Wheeler
02-05,Carol Becker,R. Michael Martens,David Wheeler
02-06,Carol Becker,R. Michael Martens,David Wheeler
02-10,Carol Becker,R. Michael Martens,David Wheeler
02-11,Carol Becker,R. Michael Martens,David Wheeler
03-02,Carol Becker,R. Michael Martens,David Wheeler
03-03,Carol Becker,R. Michael Martens,David Wheeler
03-03,Carol Becker,R. Michael Martens,David Wheeler
03-03,Carol Becker,R. Michael Martens,David Wheeler
03-03,Carol Becker,R. Michael Martens,David Wheeler
03-04,Carol Becker,R. Michael Martens,David Wheeler
03-04,Carol Becker,R. Michael Martens,David Wheeler
03-04,Carol Becker,R. Michael Martens,David Wheeler
03-04,Carol Becker,R. Michael Martens,David Wheeler
03-05,Carol Becker,R. Michael Martens,David Wheeler
03-05,Carol Becker,R. Michael Martens,David Wheeler
03-06,Carol Becker,R. Michael Martens,David Wheeler
03-06,Carol Becker,R. Michael Martens,David Wheeler
03-08,Carol Becker,R. Michael Martens,David Wheeler
03-09,Carol Becker,R. Michael Martens,David Wheeler
04-03,Carol Becker,R. Michael Martens,David Wheeler
04-03,Carol Becker,R. Michael Martens,David Wheeler
04-03,Carol Becker,R. Michael Martens,David Wheeler
04-04,Carol Becker,R. Michael Martens,David Wheeler
04-04,Carol Becker,R. Michael Martens,David Wheeler
04-04,Carol Becker,R. Michael Martens,David Wheeler
04-05,Carol Becker,R. Michael Martens,David Wheeler
04-05,Carol Becker,R. Michael Martens,David Wheeler
04-06,Carol Becker,R. Michael Martens,David Wheeler
04-06,Carol Becker,R. Michael Martens,David Wheeler
04-06,Carol Becker,R. Michael Martens,David Wheeler
04-06,Carol Becker,R. Michael Martens,David Wheeler
04-08,Carol Becker,R. Michael Martens,David Wheeler
04-09,Carol Becker,R. Michael Martens,David Wheeler
05-01,Carol Becker,R. Michael Martens,David Wheeler
05-01,Carol Becker,R. Michael Martens,David Wheeler
05-01,Carol Becker,R. Michael Martens,David Wheeler
05-04,Carol Becker,R. Michael Martens,David Wheeler
05-04,Carol Becker,R. Michael Martens,David Wheeler
05-06,Carol Becker,R. Michael Martens,David Wheeler
