rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18
"Seidel, Sam","Gordon, Jesse A.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Adkins, Lawrence J.","Seidel, Sam","Hees, Bill","Gordon, Jesse A.","Davis, Henrietta","Murphy, Brian","Hall, Robert Lee, Sr.","Maher, David P.","Decker, Marjorie C.","Galluccio, Anthony D.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Reeves, Kenneth E.","Davis, Henrietta","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Timothy J., Jr.","Maher, David P.","Murphy, Brian","Simmons, Denise","Davis, Henrietta","Galluccio, Anthony D.","Decker, Marjorie C.","Reeves, Kenneth E.","Adkins, Lawrence J.","Condit, James E., III",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Green, Andre Lerone","Hees, Bill","Sullivan, Michael A.","Seidel, Sam","Kelley, Craig A.","Murphy, Brian","Simmons, Denise","Davis, Henrietta","Gordon, Jesse A.","Galluccio, Anthony D.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Kelley, Craig A.","Davis, Henrietta","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, Denise","Decker, Marjorie C.","Kelley, Craig A.","Toomey, Timothy J., Jr.","Sullivan, Michael A.","Davis, Henrietta","Seidel, Sam",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Gordon, Jesse A.","Simmons, Denise","Galluccio, Anthony D.","Reeves, Kenneth E.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Timothy J., Jr.","Galluccio, Anthony D.","Sullivan, Michael A.","Decker, Marjorie C.","Murphy, Brian","Maher, David P.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, Denise","Decker, Marjorie C.","Galluccio, Anthony D.","Seidel, Sam","Maher, David P.","LaTremouille, Robert J.","Kelley, Craig A.","Murphy, Brian","Reeves, Kenneth E.","Sullivan, Michael A.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Sullivan, Michael A.","Galluccio, Anthony D.","Reeves, Kenneth E.","Simmons, Denise","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Reeves, Kenneth E.","Simmons, Denise","Galluccio, Anthony D.","Toomey, Timothy J., Jr.","Murphy, Brian","Maher, David P.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Maher, David P.","Murphy, Brian","Sullivan, Michael A.","Simmons, Denise","Reeves, Kenneth E.","Galluccio, Anthony D.","Hall, Robert Lee, Sr.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Maher, David P.","Galluccio, Anthony D.","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Davis, Henrietta","Kelley, Craig A.","Decker, Marjorie C.","Murphy, Brian","Galluccio, Anthony D.","Sullivan, Michael A.","Toomey, Timothy J., Jr.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Galluccio, Anthony D.","Maher, David P.","Sullivan, Michael A.","Murphy, Brian",skipped,"Davis, Henrietta","Gordon, Jesse A.",skipped,"Adkins, Lawrence J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Gordon, Jesse A.","Kelley, Craig A.","Simmons, Denise","Murphy, Brian","Sullivan, Michael A.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Seidel, Sam","Maher, David P.","Gordon, Jesse A.","Simmons, Denise","Toomey, Timothy J., Jr.","Davis, Henrietta","Murphy, Brian","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Adkins, Lawrence J.","Seidel, Sam","Gordon, Jesse A.","Davis, Henrietta","Murphy, Brian","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Seidel, Sam","Murphy, Brian",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Davis, Henrietta","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Davis, Henrietta","Gordon, Jesse A.","Simmons, Denise","Murphy, Brian","Condit, James E., III","Hees, Bill",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Gordon, Jesse A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Simmons, Denise","Decker, Marjorie C.","Galluccio, Anthony D.","Gordon, Jesse A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Toomey, Timothy J., Jr.","Simmons, Denise",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Decker, Marjorie C.","Simmons, Denise","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Adkins, Lawrence J.","Seidel, Sam","Reeves, Kenneth E.","Galluccio, Anthony D.","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Decker, Marjorie C.","Davis, Henrietta","Maher, David P.","Galluccio, Anthony D.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Maher, David P.","Seidel, Sam","Simmons, Denise","Davis, Henrietta","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Reeves, Kenneth E.","Galluccio, Anthony D.","Hees, Bill","Green, Andre Lerone","Adkins, Lawrence J.",skipped,skipped,skipped,skipped,skipped,skipped
"Decker, Marjorie C.","Murphy, Brian","Seidel, Sam","Simmons, Denise","Davis, Henrietta",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Seidel, Sam","Murphy, Brian","Davis, Henrietta","Kelley, Craig A.","Galluccio, Anthony D.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Reeves, Kenneth E.","Toomey, Timothy J., Jr.","Decker, Marjorie C.","Davis, Henrietta","LaTremouille, Robert J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Simmons, Denise","Davis, Henrietta","Murphy, Brian","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Timothy J., Jr.","Galluccio, Anthony D.","Sullivan, Michael A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Murphy, Brian","Maher, David P.","Simmons, Denise","Davis, Henrietta","Decker, Marjorie C.","Galluccio, Anthony D.","Sullivan, Michael A.","Toomey, Timothy J., Jr.","Reeves, Kenneth E.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Kelley, Craig A.","Reeves, Kenneth E.","Decker, Marjorie C.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Toomey, Timothy J., Jr.","Hall, Robert Lee, Sr.","Condit, James E., III","Decker, Marjorie C.","Kelley, Craig A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
"Galluccio, Anthony D.","Sullivan, Michael A.","Decker, Marjorie C.","Toomey, Timothy J., Jr.","Reeves, Kenneth E.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped
