precinct,rank1,rank2,rank3
05-01,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-01,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-01,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-03,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-03,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-04,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-04,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-04,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-04,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-05,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-05,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-05,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-05,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-07,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
05-09,Mary Merrill Anderson,Nancy Bernard,Annie Young
06-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
06-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
06-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
06-04,Mary Merrill Anderson,Nancy Bernard,Annie Young
06-04,Mary Merrill Anderson,Nancy Bernard,Annie Young
06-04,Mary Merrill Anderson,Nancy Bernard,Annie Young
06-04,Mary Merrill Anderson,Nancy Bernard,Annie Young
06-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
06-07,Mary Merrill Anderson,Nancy Bernard,Annie Young
06-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
07-03,Mary Merrill Anderson,Nancy Bernard,Annie Young
07-03,Mary Merrill Anderson,Nancy Bernard,Annie Young
07-03,Mary Merrill Anderson,Nancy Bernard,Annie Young
07-05,Mary Merrill Anderson,Nancy Bernard,Annie Young
07-05,Mary Merrill Anderson,Nancy Bernard,Annie Young
07-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
07-07,Mary Merrill Anderson,Nancy Bernard,Annie Young
07-07,Mary Merrill Anderson,Nancy Bernard,Annie Young
07-07,Mary Merrill Anderson,Nancy Bernard,Annie Young
07-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
07-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
07-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
07-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
08-01,Mary Merrill Anderson,Nancy Bernard,Annie Young
08-01,Mary Merrill Anderson,Nancy Bernard,Annie Young
08-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
08-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
08-05,Mary Merrill Anderson,Nancy Bernard,Annie Young
08-05,Mary Merrill Anderson,Nancy Bernard,Annie Young
08-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
08-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
08-09,Mary Merrill Anderson,Nancy Bernard,Annie Young
08-10,Mary Merrill Anderson,Nancy Bernard,Annie Young
08-10,Mary Merrill Anderson,Nancy Bernard,Annie Young
08-10,Mary Merrill Anderson,Nancy Bernard,Annie Young
08-10,Mary Merrill Anderson,Nancy Bernard,Annie Young
09-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
09-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
09-05,Mary Merrill Anderson,Nancy Bernard,Annie Young
09-05,Mary Merrill Anderson,Nancy Bernard,Annie Young
09-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
09-07,Mary Merrill Anderson,Nancy Bernard,Annie Young
09-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
09-09,Mary Merrill Anderson,Nancy Bernard,Annie Young
09-10,Mary Merrill Anderson,Nancy Bernard,Annie Young
09-11,Mary Merrill Anderson,Nancy Bernard,Annie Young
10-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
10-03,Mary Merrill Anderson,Nancy Bernard,Annie Young
10-03,Mary Merrill Anderson,Nancy Bernard,Annie Young
10-04,Mary Merrill Anderson,Nancy Bernard,Annie Young
10-05,Mary Merrill Anderson,Nancy Bernard,Annie Young
10-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
10-07,Mary Merrill Anderson,Nancy Bernard,Annie Young
10-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
10-09,Mary Merrill Anderson,Nancy Bernard,Annie Young
10-10,Mary Merrill Anderson,Nancy Bernard,Annie Young
10-10,Mary Merrill Anderson,Nancy Bernard,Annie Young
10-11,Mary Merrill Anderson,Nancy Bernard,Annie Young
10-11,Mary Merrill Anderson,Nancy Bernard,Annie Young
11-01,Mary Merrill Anderson,Nancy Bernard,Annie Young
11-01,Mary Merrill Anderson,Nancy Bernard,Annie Young
11-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
11-05,Mary Merrill Anderson,Nancy Bernard,Annie Young
11-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
11-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
11-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
11-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
11-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
11-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
11-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
11-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-01,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-01,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-03,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-03,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-04,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-04,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-04,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-05,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-05,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-06,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-09,Mary Merrill Anderson,Nancy Bernard,Annie Young
12-11,Mary Merrill Anderson,Nancy Bernard,Annie Young
13-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
13-02,Mary Merrill Anderson,Nancy Bernard,Annie Young
13-03,Mary Merrill Anderson,Nancy Bernard,Annie Young
13-05,Mary Merrill Anderson,Nancy Bernard,Annie Young
13-08,Mary Merrill Anderson,Nancy Bernard,Annie Young
13-09,Mary Merrill Anderson,Nancy Bernard,Annie Young
13-09,Mary Merrill Anderson,Nancy Bernard,Annie Young
13-09,Mary Merrill Anderson,Nancy Bernard,Annie Young
02-05,Mary Merrill Anderson,writein,John Butler
