precinct,rank1,rank2,rank3
13-08,David Wahstedt,Tom Nordyke,skipped
13-10,David Wahstedt,Tom Nordyke,skipped
01-03,David Wahstedt,Tom Nordyke,Annie Young
01-03,David Wahstedt,Tom Nordyke,Annie Young
01-04,David Wahstedt,Tom Nordyke,Annie Young
01-05,David Wahstedt,Tom Nordyke,Annie Young
01-09,David Wahstedt,Tom Nordyke,Annie Young
02-02,David Wahstedt,Tom Nordyke,Annie Young
02-02,David Wahstedt,Tom Nordyke,Annie Young
03-06,David Wahstedt,Tom Nordyke,Annie Young
03-06,David Wahstedt,Tom Nordyke,Annie Young
03-09,David Wahstedt,Tom Nordyke,Annie Young
04-02,David Wahstedt,Tom Nordyke,Annie Young
04-02,David Wahstedt,Tom Nordyke,Annie Young
04-08,David Wahstedt,Tom Nordyke,Annie Young
06-02,David Wahstedt,Tom Nordyke,Annie Young
07-01,David Wahstedt,Tom Nordyke,Annie Young
07-01,David Wahstedt,Tom Nordyke,Annie Young
07-03,David Wahstedt,Tom Nordyke,Annie Young
07-05,David Wahstedt,Tom Nordyke,Annie Young
07-07,David Wahstedt,Tom Nordyke,Annie Young
08-03,David Wahstedt,Tom Nordyke,Annie Young
08-10,David Wahstedt,Tom Nordyke,Annie Young
09-02,David Wahstedt,Tom Nordyke,Annie Young
09-06,David Wahstedt,Tom Nordyke,Annie Young
10-02,David Wahstedt,Tom Nordyke,Annie Young
10-10,David Wahstedt,Tom Nordyke,Annie Young
11-07,David Wahstedt,Tom Nordyke,Annie Young
12-02,David Wahstedt,Tom Nordyke,Annie Young
12-04,David Wahstedt,Tom Nordyke,Annie Young
07-08,David Wahstedt,writein,writein
13-02,David Wahstedt,writein,skipped
06-01,David Wahstedt,writein,writein
10-11,David Wahstedt,writein,skipped
12-01,David Wahstedt,writein,writein
01-01,David Wahstedt,skipped,skipped
01-01,David Wahstedt,skipped,skipped
01-01,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-02,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-03,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-04,David Wahstedt,skipped,skipped
01-05,David Wahstedt,skipped,skipped
01-05,David Wahstedt,skipped,skipped
01-05,David Wahstedt,skipped,skipped
01-05,David Wahstedt,skipped,skipped
01-05,David Wahstedt,skipped,skipped
01-05,David Wahstedt,skipped,skipped
01-05,David Wahstedt,skipped,skipped
01-05,David Wahstedt,skipped,skipped
01-05,David Wahstedt,skipped,skipped
01-05,David Wahstedt,skipped,skipped
01-05,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-06,David Wahstedt,skipped,skipped
01-07,David Wahstedt,skipped,skipped
01-07,David Wahstedt,skipped,skipped
01-07,David Wahstedt,skipped,skipped
01-07,David Wahstedt,skipped,skipped
01-07,David Wahstedt,skipped,skipped
01-07,David Wahstedt,skipped,skipped
01-08,David Wahstedt,skipped,skipped
01-08,David Wahstedt,skipped,skipped
01-08,David Wahstedt,skipped,skipped
01-08,David Wahstedt,skipped,skipped
01-08,David Wahstedt,skipped,skipped
01-08,David Wahstedt,skipped,skipped
01-08,David Wahstedt,skipped,skipped
01-08,David Wahstedt,skipped,skipped
01-09,David Wahstedt,skipped,skipped
01-09,David Wahstedt,skipped,skipped
01-09,David Wahstedt,skipped,skipped
01-09,David Wahstedt,skipped,skipped
01-09,David Wahstedt,skipped,skipped
01-09,David Wahstedt,skipped,skipped
01-09,David Wahstedt,skipped,skipped
01-09,David Wahstedt,skipped,skipped
01-10,David Wahstedt,skipped,skipped
01-10,David Wahstedt,skipped,skipped
01-10,David Wahstedt,skipped,skipped
01-10,David Wahstedt,skipped,skipped
01-10,David Wahstedt,skipped,skipped
01-10,David Wahstedt,skipped,skipped
01-10,David Wahstedt,skipped,skipped
01-10,David Wahstedt,skipped,skipped
01-10,David Wahstedt,skipped,skipped
01-10,David Wahstedt,skipped,skipped
01-10,David Wahstedt,skipped,skipped
01-10,David Wahstedt,skipped,skipped
01-10,David Wahstedt,skipped,skipped
02-01,David Wahstedt,skipped,skipped
02-01,David Wahstedt,skipped,skipped
02-01,David Wahstedt,skipped,skipped
02-01,David Wahstedt,skipped,skipped
02-01,David Wahstedt,skipped,skipped
02-01,David Wahstedt,skipped,skipped
02-01,David Wahstedt,skipped,skipped
02-01,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-02,David Wahstedt,skipped,skipped
02-03,David Wahstedt,skipped,skipped
02-03,David Wahstedt,skipped,skipped
02-03,David Wahstedt,skipped,skipped
02-03,David Wahstedt,skipped,skipped
02-03,David Wahstedt,skipped,skipped
02-03,David Wahstedt,skipped,skipped
02-03,David Wahstedt,skipped,skipped
02-03,David Wahstedt,skipped,skipped
02-03,David Wahstedt,skipped,skipped
02-04,David Wahstedt,skipped,skipped
02-04,David Wahstedt,skipped,skipped
02-05,David Wahstedt,skipped,skipped
02-05,David Wahstedt,skipped,skipped
02-05,David Wahstedt,skipped,skipped
02-05,David Wahstedt,skipped,skipped
02-05,David Wahstedt,skipped,skipped
02-05,David Wahstedt,skipped,skipped
02-05,David Wahstedt,skipped,skipped
02-05,David Wahstedt,skipped,skipped
02-05,David Wahstedt,skipped,skipped
02-05,David Wahstedt,skipped,skipped
02-05,David Wahstedt,skipped,skipped
02-05,David Wahstedt,skipped,skipped
02-05,David Wahstedt,skipped,skipped
02-05,David Wahstedt,skipped,skipped
02-06,David Wahstedt,skipped,skipped
02-06,David Wahstedt,skipped,skipped
02-06,David Wahstedt,skipped,skipped
02-06,David Wahstedt,skipped,skipped
02-06,David Wahstedt,skipped,skipped
02-06,David Wahstedt,skipped,skipped
02-06,David Wahstedt,skipped,skipped
02-06,David Wahstedt,skipped,skipped
02-06,David Wahstedt,skipped,skipped
02-06,David Wahstedt,skipped,skipped
02-07,David Wahstedt,skipped,skipped
02-07,David Wahstedt,skipped,skipped
02-07,David Wahstedt,skipped,skipped
02-07,David Wahstedt,skipped,skipped
02-08,David Wahstedt,skipped,skipped
02-08,David Wahstedt,skipped,skipped
02-08,David Wahstedt,skipped,skipped
02-09,David Wahstedt,skipped,skipped
02-09,David Wahstedt,skipped,skipped
02-09,David Wahstedt,skipped,skipped
02-09,David Wahstedt,skipped,skipped
02-09,David Wahstedt,skipped,skipped
02-09,David Wahstedt,skipped,skipped
02-09,David Wahstedt,skipped,skipped
02-09,David Wahstedt,skipped,skipped
02-09,David Wahstedt,skipped,skipped
02-10,David Wahstedt,skipped,skipped
02-10,David Wahstedt,skipped,skipped
02-10,David Wahstedt,skipped,skipped
02-10,David Wahstedt,skipped,skipped
02-10,David Wahstedt,skipped,skipped
02-10,David Wahstedt,skipped,skipped
02-10,David Wahstedt,skipped,skipped
02-10,David Wahstedt,skipped,skipped
02-10,David Wahstedt,skipped,skipped
02-11,David Wahstedt,skipped,skipped
02-11,David Wahstedt,skipped,skipped
02-11,David Wahstedt,skipped,skipped
02-11,David Wahstedt,skipped,skipped
03-01,David Wahstedt,skipped,skipped
03-01,David Wahstedt,skipped,skipped
03-01,David Wahstedt,skipped,skipped
03-01,David Wahstedt,skipped,skipped
03-02,David Wahstedt,skipped,skipped
03-03,David Wahstedt,skipped,skipped
03-03,David Wahstedt,skipped,skipped
03-03,David Wahstedt,skipped,skipped
03-03,David Wahstedt,skipped,skipped
03-03,David Wahstedt,skipped,skipped
03-03,David Wahstedt,skipped,skipped
03-03,David Wahstedt,skipped,skipped
03-03,David Wahstedt,skipped,skipped
03-03,David Wahstedt,skipped,skipped
03-03,David Wahstedt,skipped,skipped
03-04,David Wahstedt,skipped,skipped
03-04,David Wahstedt,skipped,skipped
03-04,David Wahstedt,skipped,skipped
03-04,David Wahstedt,skipped,skipped
03-04,David Wahstedt,skipped,skipped
03-04,David Wahstedt,skipped,skipped
03-04,David Wahstedt,skipped,skipped
03-04,David Wahstedt,skipped,skipped
03-04,David Wahstedt,skipped,skipped
03-04,David Wahstedt,skipped,skipped
03-04,David Wahstedt,skipped,skipped
03-04,David Wahstedt,skipped,skipped
03-05,David Wahstedt,skipped,skipped
03-05,David Wahstedt,skipped,skipped
03-05,David Wahstedt,skipped,skipped
03-05,David Wahstedt,skipped,skipped
03-05,David Wahstedt,skipped,skipped
03-05,David Wahstedt,skipped,skipped
03-05,David Wahstedt,skipped,skipped
03-05,David Wahstedt,skipped,skipped
03-05,David Wahstedt,skipped,skipped
03-05,David Wahstedt,skipped,skipped
03-05,David Wahstedt,skipped,skipped
03-06,David Wahstedt,skipped,skipped
03-06,David Wahstedt,skipped,skipped
03-06,David Wahstedt,skipped,skipped
03-06,David Wahstedt,skipped,skipped
03-06,David Wahstedt,skipped,skipped
03-06,David Wahstedt,skipped,skipped
03-06,David Wahstedt,skipped,skipped
03-06,David Wahstedt,skipped,skipped
03-06,David Wahstedt,skipped,skipped
03-06,David Wahstedt,skipped,skipped
03-06,David Wahstedt,skipped,skipped
03-06,David Wahstedt,skipped,skipped
03-06,David Wahstedt,skipped,skipped
03-07,David Wahstedt,skipped,skipped
03-07,David Wahstedt,skipped,skipped
03-07,David Wahstedt,skipped,skipped
03-07,David Wahstedt,skipped,skipped
03-07,David Wahstedt,skipped,skipped
03-07,David Wahstedt,skipped,skipped
03-07,David Wahstedt,skipped,skipped
03-07,David Wahstedt,skipped,skipped
03-07,David Wahstedt,skipped,skipped
03-07,David Wahstedt,skipped,skipped
03-08,David Wahstedt,skipped,skipped
03-08,David Wahstedt,skipped,skipped
03-09,David Wahstedt,skipped,skipped
03-09,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-01,David Wahstedt,skipped,skipped
04-02,David Wahstedt,skipped,skipped
04-02,David Wahstedt,skipped,skipped
04-02,David Wahstedt,skipped,skipped
04-02,David Wahstedt,skipped,skipped
04-02,David Wahstedt,skipped,skipped
04-02,David Wahstedt,skipped,skipped
04-02,David Wahstedt,skipped,skipped
04-02,David Wahstedt,skipped,skipped
04-02,David Wahstedt,skipped,skipped
04-02,David Wahstedt,skipped,skipped
04-03,David Wahstedt,skipped,skipped
04-03,David Wahstedt,skipped,skipped
04-03,David Wahstedt,skipped,skipped
04-03,David Wahstedt,skipped,skipped
04-03,David Wahstedt,skipped,skipped
04-03,David Wahstedt,skipped,skipped
04-03,David Wahstedt,skipped,skipped
04-03,David Wahstedt,skipped,skipped
04-04,David Wahstedt,skipped,skipped
04-04,David Wahstedt,skipped,skipped
04-04,David Wahstedt,skipped,skipped
04-04,David Wahstedt,skipped,skipped
04-04,David Wahstedt,skipped,skipped
04-04,David Wahstedt,skipped,skipped
04-04,David Wahstedt,skipped,skipped
04-04,David Wahstedt,skipped,skipped
04-04,David Wahstedt,skipped,skipped
04-04,David Wahstedt,skipped,skipped
04-04,David Wahstedt,skipped,skipped
04-04,David Wahstedt,skipped,skipped
04-04,David Wahstedt,skipped,skipped
04-04,David Wahstedt,skipped,skipped
04-04,David Wahstedt,skipped,skipped
04-04,David Wahstedt,skipped,skipped
04-05,David Wahstedt,skipped,skipped
04-05,David Wahstedt,skipped,skipped
04-05,David Wahstedt,skipped,skipped
04-05,David Wahstedt,skipped,skipped
04-05,David Wahstedt,skipped,skipped
04-05,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-06,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-07,David Wahstedt,skipped,skipped
04-08,David Wahstedt,skipped,skipped
04-08,David Wahstedt,skipped,skipped
04-08,David Wahstedt,skipped,skipped
04-08,David Wahstedt,skipped,skipped
04-08,David Wahstedt,skipped,skipped
04-08,David Wahstedt,skipped,skipped
04-08,David Wahstedt,skipped,skipped
04-08,David Wahstedt,skipped,skipped
04-08,David Wahstedt,skipped,skipped
04-08,David Wahstedt,skipped,skipped
04-08,David Wahstedt,skipped,skipped
04-08,David Wahstedt,skipped,skipped
04-08,David Wahstedt,skipped,skipped
04-08,David Wahstedt,skipped,skipped
04-09,David Wahstedt,skipped,skipped
04-09,David Wahstedt,skipped,skipped
04-09,David Wahstedt,skipped,skipped
04-09,David Wahstedt,skipped,skipped
04-09,David Wahstedt,skipped,skipped
04-09,David Wahstedt,skipped,skipped
04-09,David Wahstedt,skipped,skipped
04-09,David Wahstedt,skipped,skipped
04-09,David Wahstedt,skipped,skipped
04-09,David Wahstedt,skipped,skipped
04-09,David Wahstedt,skipped,skipped
04-09,David Wahstedt,skipped,skipped
04-10,David Wahstedt,skipped,skipped
04-10,David Wahstedt,skipped,skipped
04-10,David Wahstedt,skipped,skipped
04-10,David Wahstedt,skipped,skipped
04-10,David Wahstedt,skipped,skipped
04-10,David Wahstedt,skipped,skipped
05-01,David Wahstedt,skipped,skipped
05-01,David Wahstedt,skipped,skipped
05-01,David Wahstedt,skipped,skipped
05-01,David Wahstedt,skipped,skipped
05-01,David Wahstedt,skipped,skipped
05-01,David Wahstedt,skipped,skipped
05-01,David Wahstedt,skipped,skipped
05-01,David Wahstedt,skipped,skipped
05-01,David Wahstedt,skipped,skipped
05-02,David Wahstedt,skipped,skipped
05-02,David Wahstedt,skipped,skipped
05-02,David Wahstedt,skipped,skipped
05-02,David Wahstedt,skipped,skipped
05-02,David Wahstedt,skipped,skipped
05-02,David Wahstedt,skipped,skipped
05-02,David Wahstedt,skipped,skipped
05-02,David Wahstedt,skipped,skipped
05-03,David Wahstedt,skipped,skipped
05-03,David Wahstedt,skipped,skipped
05-03,David Wahstedt,skipped,skipped
05-03,David Wahstedt,skipped,skipped
05-03,David Wahstedt,skipped,skipped
05-03,David Wahstedt,skipped,skipped
05-03,David Wahstedt,skipped,skipped
05-03,David Wahstedt,skipped,skipped
05-03,David Wahstedt,skipped,skipped
05-04,David Wahstedt,skipped,skipped
05-04,David Wahstedt,skipped,skipped
05-04,David Wahstedt,skipped,skipped
05-04,David Wahstedt,skipped,skipped
05-04,David Wahstedt,skipped,skipped
05-04,David Wahstedt,skipped,skipped
05-04,David Wahstedt,skipped,skipped
05-05,David Wahstedt,skipped,skipped
05-06,David Wahstedt,skipped,skipped
05-06,David Wahstedt,skipped,skipped
05-06,David Wahstedt,skipped,skipped
05-06,David Wahstedt,skipped,skipped
05-06,David Wahstedt,skipped,skipped
05-06,David Wahstedt,skipped,skipped
05-06,David Wahstedt,skipped,skipped
05-07,David Wahstedt,skipped,skipped
05-07,David Wahstedt,skipped,skipped
05-10,David Wahstedt,skipped,skipped
05-10,David Wahstedt,skipped,skipped
05-10,David Wahstedt,skipped,skipped
05-10,David Wahstedt,skipped,skipped
05-10,David Wahstedt,skipped,skipped
05-10,David Wahstedt,skipped,skipped
06-01,David Wahstedt,skipped,skipped
06-01,David Wahstedt,skipped,skipped
06-01,David Wahstedt,skipped,skipped
06-02,David Wahstedt,skipped,skipped
06-02,David Wahstedt,skipped,skipped
06-02,David Wahstedt,skipped,skipped
06-02,David Wahstedt,skipped,skipped
06-02,David Wahstedt,skipped,skipped
06-02,David Wahstedt,skipped,skipped
06-02,David Wahstedt,skipped,skipped
06-02,David Wahstedt,skipped,skipped
06-02,David Wahstedt,skipped,skipped
06-02,David Wahstedt,skipped,skipped
06-02,David Wahstedt,skipped,skipped
06-02,David Wahstedt,skipped,skipped
06-02,David Wahstedt,skipped,skipped
06-02,David Wahstedt,skipped,skipped
06-02,David Wahstedt,skipped,skipped
06-02,David Wahstedt,skipped,skipped
06-03,David Wahstedt,skipped,skipped
06-03,David Wahstedt,skipped,skipped
06-03,David Wahstedt,skipped,skipped
06-03,David Wahstedt,skipped,skipped
06-03,David Wahstedt,skipped,skipped
06-03,David Wahstedt,skipped,skipped
06-03,David Wahstedt,skipped,skipped
06-03,David Wahstedt,skipped,skipped
06-03,David Wahstedt,skipped,skipped
06-03,David Wahstedt,skipped,skipped
06-04,David Wahstedt,skipped,skipped
06-04,David Wahstedt,skipped,skipped
06-04,David Wahstedt,skipped,skipped
06-04,David Wahstedt,skipped,skipped
06-04,David Wahstedt,skipped,skipped
06-04,David Wahstedt,skipped,skipped
06-04,David Wahstedt,skipped,skipped
06-05,David Wahstedt,skipped,skipped
06-05,David Wahstedt,skipped,skipped
06-05,David Wahstedt,skipped,skipped
06-05,David Wahstedt,skipped,skipped
06-05,David Wahstedt,skipped,skipped
06-05,David Wahstedt,skipped,skipped
06-06,David Wahstedt,skipped,skipped
06-06,David Wahstedt,skipped,skipped
06-06,David Wahstedt,skipped,skipped
06-07,David Wahstedt,skipped,skipped
06-07,David Wahstedt,skipped,skipped
06-07,David Wahstedt,skipped,skipped
06-07,David Wahstedt,skipped,skipped
06-07,David Wahstedt,skipped,skipped
06-07,David Wahstedt,skipped,skipped
06-08,David Wahstedt,skipped,skipped
06-08,David Wahstedt,skipped,skipped
06-08,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-01,David Wahstedt,skipped,skipped
07-02,David Wahstedt,skipped,skipped
07-02,David Wahstedt,skipped,skipped
07-02,David Wahstedt,skipped,skipped
07-02,David Wahstedt,skipped,skipped
07-02,David Wahstedt,skipped,skipped
07-02,David Wahstedt,skipped,skipped
07-02,David Wahstedt,skipped,skipped
07-02,David Wahstedt,skipped,skipped
07-02,David Wahstedt,skipped,skipped
07-02,David Wahstedt,skipped,skipped
07-02,David Wahstedt,skipped,skipped
07-02,David Wahstedt,skipped,skipped
07-02,David Wahstedt,skipped,skipped
07-03,David Wahstedt,skipped,skipped
07-03,David Wahstedt,skipped,skipped
07-03,David Wahstedt,skipped,skipped
07-03,David Wahstedt,skipped,skipped
07-03,David Wahstedt,skipped,skipped
07-03,David Wahstedt,skipped,skipped
07-03,David Wahstedt,skipped,skipped
07-03,David Wahstedt,skipped,skipped
07-03,David Wahstedt,skipped,skipped
07-04,David Wahstedt,skipped,skipped
07-04,David Wahstedt,skipped,skipped
07-04,David Wahstedt,skipped,skipped
07-04,David Wahstedt,skipped,skipped
07-04,David Wahstedt,skipped,skipped
07-04,David Wahstedt,skipped,skipped
07-04,David Wahstedt,skipped,skipped
07-04,David Wahstedt,skipped,skipped
07-04,David Wahstedt,skipped,skipped
07-04,David Wahstedt,skipped,skipped
07-04,David Wahstedt,skipped,skipped
07-05,David Wahstedt,skipped,skipped
07-05,David Wahstedt,skipped,skipped
07-05,David Wahstedt,skipped,skipped
07-05,David Wahstedt,skipped,skipped
07-05,David Wahstedt,skipped,skipped
07-05,David Wahstedt,skipped,skipped
07-05,David Wahstedt,skipped,skipped
07-06,David Wahstedt,skipped,skipped
07-06,David Wahstedt,skipped,skipped
07-06,David Wahstedt,skipped,skipped
07-06,David Wahstedt,skipped,skipped
07-06,David Wahstedt,skipped,skipped
07-06,David Wahstedt,skipped,skipped
07-06,David Wahstedt,skipped,skipped
07-06,David Wahstedt,skipped,skipped
07-06,David Wahstedt,skipped,skipped
07-06,David Wahstedt,skipped,skipped
07-06,David Wahstedt,skipped,skipped
07-06,David Wahstedt,skipped,skipped
07-06,David Wahstedt,skipped,skipped
07-06,David Wahstedt,skipped,skipped
07-06,David Wahstedt,skipped,skipped
07-06,David Wahstedt,skipped,skipped
07-06,David Wahstedt,skipped,skipped
07-06,David Wahstedt,skipped,skipped
07-07,David Wahstedt,skipped,skipped
07-07,David Wahstedt,skipped,skipped
07-07,David Wahstedt,skipped,skipped
07-07,David Wahstedt,skipped,skipped
07-07,David Wahstedt,skipped,skipped
07-07,David Wahstedt,skipped,skipped
07-07,David Wahstedt,skipped,skipped
07-07,David Wahstedt,skipped,skipped
07-08,David Wahstedt,skipped,skipped
07-08,David Wahstedt,skipped,skipped
07-08,David Wahstedt,skipped,skipped
07-08,David Wahstedt,skipped,skipped
07-08,David Wahstedt,skipped,skipped
07-08,David Wahstedt,skipped,skipped
07-08,David Wahstedt,skipped,skipped
07-08,David Wahstedt,skipped,skipped
07-08,David Wahstedt,skipped,skipped
07-08,David Wahstedt,skipped,skipped
07-08,David Wahstedt,skipped,skipped
07-08,David Wahstedt,skipped,skipped
07-08,David Wahstedt,skipped,skipped
07-08,David Wahstedt,skipped,skipped
07-08,David Wahstedt,skipped,skipped
07-08,David Wahstedt,skipped,skipped
07-08,David Wahstedt,skipped,skipped
07-08,David Wahstedt,skipped,skipped
