filename,diff,gamma,#candidates,IRV1,Condorcet1,Plurality1,Approval1IRV2,Condorcet2,Plurality2,Approval2,Approval1,IRV2
Berkeley_11032020_MayorBerkeleyRCV.csv,[],0.783319622,4,JESSE ARREGUÃN,JESSE ARREGUÃN,JESSE ARREGUÃN,,JESSE ARREGUÃN,JESSE ARREGUÃN,JESSE ARREGUÃN,JESSE ARREGUÃN,JESSE ARREGUÃN
Berkeley_11032020_MemberCityCouncilDist2BerkeleyRCV.csv,[],0.693770572,4,TERRY TAPLIN,TERRY TAPLIN,TERRY TAPLIN,,TERRY TAPLIN,TERRY TAPLIN,TERRY TAPLIN,TERRY TAPLIN,TERRY TAPLIN
Berkeley_11042014_CityCouncilDistrict8.csv,"['IRV', 'Condorcet', 'Plurality', 'Approval']",0.542402827,4,LORI DROSTE,LORI DROSTE,LORI DROSTE,,GEORGE BEIER,GEORGE BEIER,GEORGE BEIER,LORI DROSTE,GEORGE BEIER
Berkeley_11062018_CityCouncilDistrict1.csv,[],0.682970096,4,RASHI KESARWANI,RASHI KESARWANI,RASHI KESARWANI,,RASHI KESARWANI,RASHI KESARWANI,RASHI KESARWANI,RASHI KESARWANI,RASHI KESARWANI
Berkeley_11062018_CityCouncilDistrict8.csv,['Approval'],0.631771708,4,LORI DROSTE,LORI DROSTE,LORI DROSTE,,LORI DROSTE,LORI DROSTE,MARY KAY LACEY,LORI DROSTE,LORI DROSTE
Berkeley_11082016_CityCouncilDistrict3.csv,[],0.688895128,4,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT,BEN BARTLETT
Eastpointe_11052019_CityCouncil.csv,['Plurality'],0.593562575,4,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido,,Sarah A. Lucido,Harvey Curley,Sarah A. Lucido,Sarah A. Lucido,Sarah A. Lucido
LasCruces_11052019_COUNCILORPOSITION2CITYOFLASCRUCESDISTRICT2COUNCILOR.csv,[],0.632,4,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE,TESSA ABEYTA STUVE
Maine_06122018_DemocraticPrimaryforCD2.csv,"['IRV', 'Condorcet', 'Plurality', 'Approval']",0.687192716,4,"Golden, Jared F.","Golden, Jared F.","Golden, Jared F.",,"St. Clair, Lucas R.","St. Clair, Lucas R.","St. Clair, Lucas R.","Golden, Jared F.","St. Clair, Lucas R."
Maine_11062018_CongressionalDistrict2.csv,[],0.78295979,4,"DEM Golden, Jared F.","DEM Golden, Jared F.","REP Poliquin, Bruce",,"DEM Golden, Jared F.","REP Poliquin, Bruce","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
Minneapolis_11022021_CityCouncilWard1.csv,"['IRV', 'Condorcet', 'Plurality', 'Approval']",0.621027751,4,Elliott Payne,Elliott Payne,Elliott Payne,,Kevin Reich,Kevin Reich,Kevin Reich,Elliott Payne,Kevin Reich
Minneapolis_11022021_CityCouncilWard3.csv,[],0.831405828,4,Michael Rainville,Michael Rainville,Michael Rainville,,Michael Rainville,Michael Rainville,Michael Rainville,Michael Rainville,Michael Rainville
Minneapolis_11022021_CityCouncilWard7.csv,[],0.792345487,4,Lisa Goodman,Lisa Goodman,Lisa Goodman,,Lisa Goodman,Lisa Goodman,Lisa Goodman,Lisa Goodman,Lisa Goodman
Minneapolis_11022021_ParkBoardDistrict6.csv,['Plurality'],0.750388294,4,Cathy Abene,Cathy Abene,Risa Hustad,,Cathy Abene,Cathy Abene,Cathy Abene,Cathy Abene,Cathy Abene
Minneapolis_11052013_Ward5CityCouncil.csv,[],0.701030928,4,BLONG YANG,BLONG YANG,BLONG YANG,,BLONG YANG,BLONG YANG,BLONG YANG,BLONG YANG,BLONG YANG
Minneapolis_11062009_PRBoardDistrict6.csv,[],0.851339983,4,Brad Bourn,Brad Bourn,Brad Bourn,,Brad Bourn,Brad Bourn,Brad Bourn,Brad Bourn,Brad Bourn
Minneapolis_11062009_Ward10CityCouncil.csv,[],0.805655836,4,Meg Tuthill,Meg Tuthill,Meg Tuthill,,Meg Tuthill,Meg Tuthill,Meg Tuthill,Meg Tuthill,Meg Tuthill
Minneapolis_11062009_Ward12CityCouncil.csv,[],0.815750371,4,Sandy Colvin Roy,Sandy Colvin Roy,Sandy Colvin Roy,,Sandy Colvin Roy,Sandy Colvin Roy,Sandy Colvin Roy,Sandy Colvin Roy,Sandy Colvin Roy
Minneapolis_11062009_Ward3CityCouncil.csv,[],0.901781635,4,Diane Hofstede,Diane Hofstede,Diane Hofstede,,Diane Hofstede,Diane Hofstede,Diane Hofstede,Diane Hofstede,Diane Hofstede
Minneapolis_11062009_Ward4CityCouncil.csv,[],0.764563107,4,Barbara A. Johnson,Barbara A. Johnson,Barbara A. Johnson,,Barbara A. Johnson,Barbara A. Johnson,Barbara A. Johnson,Barbara A. Johnson,Barbara A. Johnson
Minneapolis_11062009_Ward9CityCouncil.csv,[],0.869361844,4,Gary Schiff,Gary Schiff,Gary Schiff,,Gary Schiff,Gary Schiff,Gary Schiff,Gary Schiff,Gary Schiff
