filename,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate,bimodality,Ashman_D,Sarle_coefficient,Hartigan_Dip,Amplitude_Ratio,Mode_Distance
Oakland_11082022_Schoolboarddistrict2.csv,NO,LOCAL,B,3,5,0.95417522,0.95417522,84.48447123,70.29335806,60.10860208,,,0.431415417,2.558544078,0.429487822,0.999895376,0.903850063,0.332332332
Oakland_11082022_Schoolboarddistrict4.csv,NO,LOCAL,B,3,5,0.798392574,0.798392574,72.56433477,71.56441023,69.97207758,,,0.673178473,3.130848757,0.673178473,0.999934288,0.859844723,0.674674675
Oakland_11082022_Schoolboarddistrict6.csv,NO,LOCAL,B,3,5,0.899346405,0.899346405,81.48606811,74.39284486,63.1372549,,,0.370221569,3.733351268,0.370221569,0.999874922,0.97625185,0.35035035
Portland_06082021_charter_commission_at_large.csv,NO,LOCAL,B,11,1,,0.251224234,60.66507232,59.7767908,59.40097939,52.01002164,49.6298827,0.634732746,4.128600958,0.655772911,0.999257058,0.976275568,2.462462462
Portland_06142022_SchoolboardAL-1.csv,NO,LOCAL,B,7,7,0.605212897,0.493315358,75.59824739,72.93562521,47.89349511,42.27614875,39.65846534,0.207004276,4.513287987,0.719393455,0.999692497,0.300553253,3.015015015
Portland_06142022_SchoolboardAL.csv,NO,LOCAL,B,29,7,,0.597056841,75.52235453,72.84879802,47.85441474,42.26016625,39.6427769,0.147744118,5.638619492,0.086564727,0.999649,0.999860588,1.122122122
Portland_06142022_Schoolboarddistrict5-1.csv,NO,LOCAL,B,6,5,0.744233726,0.799077396,69.297796,45.46386468,44.02870323,41.26089185,37.92926704,0.54619721,2.50784388,0.54619721,0.999094203,0.127488324,0.440520203
Portland_06142022_Schoolboarddistrict5.csv,NO,LOCAL,B,14,5,,0.697435897,69.17948718,45.43589744,43.8974359,41.23076923,37.84615385,0.208252218,1.211571824,0.811649313,0.998970134,0.004154415,0.749248525
Portland_11082022_SchoolBoardDistrict3.csv,NO,LOCAL,B,3,3,0.937429628,0.937429628,78.07624256,73.94241596,54.83352099,,,0.526965999,3.724126311,0.421688514,0.999744833,0.898088884,0.364364364
SanFrancisco_06052018_BoardofSupervisorsDistrict8.csv,NO,LOCAL,B,3,3,0.945604808,0.889376409,86.75882795,76.80841473,42.16979715,,,0.472799195,4.479966132,0.327994845,0.999945658,0.02593626,0.832832833
