ballotID,ward,rank1,rank2,rank3,rank4
169,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
170,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
171,100,Talisha Searcy,Seth Grimes,skipped,skipped
172,500,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
174,100,Jarrett Smith,skipped,skipped,skipped
175,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
176,100,Jarrett Smith,skipped,skipped,skipped
177,400,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
178,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
179,600,Talisha Searcy,Seth Grimes,skipped,skipped
180,200,Talisha Searcy,skipped,skipped,skipped
181,200,Talisha Searcy,Seth Grimes,skipped,skipped
182,200,Talisha Searcy,skipped,skipped,skipped
183,400,Talisha Searcy,skipped,skipped,skipped
184,100,Talisha Searcy,Seth Grimes,skipped,skipped
185,100,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
186,300,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
187,100,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
188,300,Seth Grimes,skipped,skipped,skipped
189,300,Seth Grimes,skipped,skipped,skipped
190,600,Talisha Searcy,skipped,skipped,skipped
191,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
192,300,Talisha Searcy,Seth Grimes,skipped,skipped
193,600,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
194,600,Seth Grimes,Talisha Searcy,Jarrett Smith,skipped
195,100,Talisha Searcy,skipped,skipped,skipped
196,400,Talisha Searcy,Jarrett Smith,skipped,skipped
197,400,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
198,300,Seth Grimes,Jarrett Smith,skipped,skipped
199,300,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
200,100,Seth Grimes,skipped,skipped,skipped
201,100,Jarrett Smith,WRITE-IN12,skipped,skipped
202,100,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
203,400,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
204,600,Talisha Searcy,skipped,skipped,skipped
205,100,Seth Grimes,Jarrett Smith,skipped,skipped
206,600,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
207,600,Talisha Searcy,skipped,skipped,skipped
208,300,Talisha Searcy,Jarrett Smith,skipped,skipped
209,100,Jarrett Smith,Talisha Searcy,skipped,skipped
210,200,Talisha Searcy,Jarrett Smith,skipped,skipped
211,300,Jarrett Smith,Seth Grimes,skipped,skipped
212,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
213,200,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
214,500,Talisha Searcy,Seth Grimes,skipped,skipped
215,100,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
216,300,Seth Grimes,Jarrett Smith,Talisha Searcy,skipped
217,200,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
218,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
219,100,Talisha Searcy,Seth Grimes,Jarrett Smith,skipped
220,300,Talisha Searcy,Seth Grimes,skipped,skipped
221,400,Jarrett Smith,Talisha Searcy,Seth Grimes,skipped
222,300,Talisha Searcy,Jarrett Smith,Seth Grimes,skipped
223,100,Jarrett Smith,Seth Grimes,skipped,skipped
224,100,Jarrett Smith,Seth Grimes,Talisha Searcy,skipped
225,300,Talisha Searcy,skipped,skipped,skipped
