type,candidates,partisan,level,mean gamma bf,std gamma bf,mean gamma mds,std gamma mds,mean bimodality,std bimodality,total number of elections
E,7,DP,1.0,0.522221848,,0.588079325,,0.257478424,,1
E,8,0,1.0,,,0.6293958205,0.00839225087057177,0.293616294,0.2987816248141213,2
E,8,DP,3.0,,,0.56529227,,0.127921717,,1
E,10,0,1.0,,,0.4493312385,0.12819876264796712,0.50832613675,0.29207971826444407,4
E,11,0,1.0,,,0.813208761,,0.334072329,,1
E,11,DP,3.0,,,0.7305571293333334,0.01609413032171698,0.33720486200000005,0.428080125002404,3
E,12,0,1.0,,,0.710926541,,0.723005628,,1
E,12,DP,1.0,,,0.482624229,,0.306647211,,1
E,13,DP,1.0,,,0.347728012,,0.219899522,,1
E,16,0,1.0,,,0.5355803640000001,0.02689433831774123,0.1336029915,0.039828730609458046,2
E,18,0,1.0,,,0.655918326,0.09821468955998924,0.192414176,0.07375890231526495,2
E,35,0,1.0,,,0.514412054,,0.036211293,,1
E,66,1,1.0,,,0.6785541,,0.491269472,,1
O,2,0,1.0,1.0,0.0,1.0,0.0,0.8755096875,0.05082353392247381,8
O,3,0,1.0,0.948835733,,0.948835733,,0.654549816,,1
O,3,1,1.0,0.933534428,,0.859795511,,0.362353034,,1
O,3,DP,1.0,0.917117884,,0.874147063,,0.711345079,,1
O,4,0,1.0,0.7496794436,0.09813298288520021,0.7058271196,0.05743525280837286,0.4825391476,0.22724590445919565,5
O,5,0,1.0,0.651418125,,0.70158706,,0.40583658,,1
O,6,1,1.0,0.581903336,,0.632458781,,0.372878492,,1
O,10,DP,1.0,,,0.507020719,,0.216648495,,1
R,2,0,1.0,1.0,0.0,1.0,0.0,0.8808568633913043,0.05967644805017396,23
R,2,1,1.0,1.0,0.0,1.0,0.0,0.8528933615000001,0.030954483937024452,2
R,2,1,2.0,1.0,0.0,1.0,0.0,0.91799951815,0.02820029196151573,20
R,2,DP,1.0,1.0,0.0,1.0,0.0,0.88729325475,0.0361947661944541,4
R,2,RP,1.0,1.0,0.0,1.0,0.0,0.8340997741999999,0.027274694816784736,5
R,3,0,1.0,0.8827376126666667,0.05405854236453645,0.842244389,0.07191552993110417,0.5925613047179487,0.13929489499853512,39
R,3,1,1.0,0.8659994145000001,0.013246171227891205,0.8659994145000001,0.013246171227891205,0.834353447,0.09660697481273091,2
R,3,1,2.0,0.8928082275,0.0629958127976577,0.8493843343125,0.0646195017973158,0.73950087025,0.16471434723455358,16
R,3,1,3.0,0.9128360693333333,0.05644251368645278,0.9128360693333333,0.05644251368645278,0.7064387786666666,0.22291833684000806,3
R,3,DP,1.0,0.89902746575,0.06089628714350431,0.84907229475,0.043075457245368404,0.74406267,0.09920468237864082,4
R,4,0,1.0,0.7593518378666667,0.10349926359608662,0.7296738782666666,0.09288127335794495,0.5114588488999999,0.14796498277717562,30
R,4,1,2.0,0.7759782446666666,0.08342390650634873,0.7868645626666666,0.04622157843637067,0.762732315,0.16830842859605016,3
R,4,1,3.0,0.7681100913333333,0.06704383668107113,0.7415858016666667,0.05906394995311568,0.7580374413333333,0.18926693690748048,3
R,4,DP,1.0,0.7291804803333334,0.03217577672509707,0.6966140023333334,0.021158016918033713,0.6982269553333333,0.13111682444104988,6
R,5,0,1.0,0.721699957625,0.1304481169335572,0.6879477645,0.1273108903515506,0.5389042013125,0.24827105915632694,16
R,5,1,1.0,0.288008965,,0.289503175,,0.61742419,,1
