Unnamed: 0.1,Unnamed: 0,filename,partisan,level,type,candidates,choices,gamma bf,gamma mds,#1 candidate,#2 candidate,#3 candidate,#4 candidate,#5 candidate,bimodality
67,67,Berkeley_03072017_CityCouncilDistrict4.csv,0,1.0,R,2,3,1.0,1.0,78.30261137,65.62980031,,,,0.8822158271774281
69,69,Berkeley_11022010_CityCouncilDistrict1.csv,0,1.0,R,4,3,0.787372494,0.743580725,84.15406261,59.90151249,45.39219135,20.1899402,,0.3700752233559386
70,70,Berkeley_11022010_CityCouncilDistrict4.csv,0,1.0,R,4,3,0.688117771,0.724500526,77.05573081,64.3533123,47.71819138,34.30073607,,0.5550550417215289
71,71,Berkeley_11022010_CityCouncilDistrict7.csv,0,1.0,R,3,3,0.79587431,0.684096906,86.44758935,76.54113696,74.52626529,,,0.7271851164457737
72,72,Berkeley_11022010_CityCouncilDistrict8.csv,0,1.0,R,3,3,0.803050109,0.748583878,84.68409586,69.91285403,69.49891068,,,0.7491307950469922
73,73,Berkeley_11032020_MayorBerkeleyRCV.csv,0,1.0,E,4,5,0.783319622,0.766162759,87.79308926,60.78259975,52.50411353,36.77498972,,0.4970883938832041
74,74,Berkeley_11032020_MemberCityCouncilDist2BerkeleyRCV.csv,0,1.0,R,4,5,0.693770572,0.659270998,81.18980861,71.26660978,68.47494819,54.65073754,,0.4150348365297019
75,75,Berkeley_11032020_MemberCityCouncilDist3BerkeleyRCV.csv,0,1.0,R,3,5,0.923176745,0.888917726,89.32001038,64.33947573,46.74279782,,,0.6391126853774902
76,76,Berkeley_11032020_MemberCityCouncilDist5BerkeleyRCV.csv,0,1.0,R,3,5,0.966956175,0.833083758,89.97703903,50.25456724,32.91404612,,,0.6845284443306269
77,77,Berkeley_11032020_MemberCityCouncilDist6BerkeleyRCV.csv,0,1.0,R,2,5,1.0,1.0,86.46975364,55.11414936,,,,0.8594973231720786
79,79,Berkeley_11042014_CityCouncilDistrict1.csv,0,1.0,R,3,3,0.917429546,0.859091725,83.0371567,74.7083109,47.9267636,,,0.2433733461527679
80,80,Berkeley_11042014_CityCouncilDistrict7.csv,0,1.0,R,2,3,1.0,1.0,76.21262458,68.8372093,,,,0.8618910258633125
81,81,Berkeley_11042014_CityCouncilDistrict8.csv,0,1.0,R,4,3,0.542623675,0.671378092,70.64929329,65.6139576,59.80565371,51.70053004,,0.5124049652740389
82,82,Berkeley_11062012_CityCouncilDistrict2.csv,0,1.0,R,3,3,0.889732528,0.889732528,81.69111303,68.26574633,60.13805004,,,0.6735371792850775
83,83,Berkeley_11062012_CityCouncilDistrict3.csv,0,1.0,R,2,3,1.0,1.0,76.30662021,64.42121564,,,,0.8696124132509943
84,84,Berkeley_11062012_CityCouncilDistrict5.csv,0,1.0,R,2,3,1.0,1.0,71.30303791,65.85488325,,,,0.884362663111102
85,85,Berkeley_11062012_CityCouncilDistrict6.csv,0,1.0,R,2,3,1.0,1.0,95.85167626,5.519810362,,,,0.9927882504810918
86,86,Berkeley_11062012_Mayor.csv,0,1.0,E,7,3,0.651337241,0.735586256,72.46169214,51.52760239,37.95163692,20.51567182,20.26499802,0.3691400803989338
87,87,Berkeley_11062018_CityAuditor.csv,0,1.0,O,2,3,1.0,1.0,96.99315272,38.34276074,,,,0.968960816003666
88,88,Berkeley_11062018_CityCouncilDistrict1.csv,0,1.0,R,4,3,0.685377598,0.598834263,74.40446021,73.9736442,66.81449569,28.53522554,,0.5161300700106256
89,89,Berkeley_11062018_CityCouncilDistrict4.csv,0,1.0,R,3,3,0.854485777,0.854485777,83.97155361,78.19110139,69.18307805,,,0.5740291820029328
90,90,Berkeley_11062018_CityCouncilDistrict7.csv,0,1.0,R,3,3,0.912224591,0.912224591,91.29353234,81.66311301,67.66169154,,,0.4117800161942734
